id,prompt,schedule,tags,subdescriptions
10,A pair of winged boots resting on a cloud in the sky.,"['Winged boots glimmering on a cloud.', 'Detailed winged boots on a white cloud in the sky with shadows.', 'Intricate winged boots glimmer, resting on a fluffy cloud, casting shadows.', 'Close-up of winged boots on a cloud, with feathered wings spreading shadows, against a blue sky.', ""A detailed close-up of a pair of intricately designed winged boots, glimmering in sunlight, gracefully resting on a fluffy white cloud high in the sky. The boots' delicate, feathered wings gently spread out, casting soft shadows, creating an ethereal and serene atmosphere against a vast, blue celestial backdrop.""]","Attribute,Scene,Spatial Relation,Counting","['Pair of intricately designed winged boots', 'Boots are resting on a fluffy white cloud', 'Boots are glimmering in the sunlight', 'Delicate, feathered wings on the boots', 'Wings gently spread out from the boots', 'Soft shadows are cast by the wings', 'Boots create an ethereal and serene atmosphere', 'Scene set high in the sky', 'Backdrop is a vast, blue celestial sky', ""Boots' wings add to the ethereal quality of the scene"", 'A cloud provides a resting spot for the boots', 'Atmosphere is ethereal and serene', 'Close-up captures the details of the boots']"
11,A mirror is speaking in a dimly lit room.,"['A vintage room with a talking mirror.', 'A vintage room with a glowing mirror and dim candlelight.', 'A vintage room with a shimmering mirror, antique decor, and flickering candlelight.', 'In a vintage room with intricate woodwork and antique decor, a large mirror with a gilded frame shimmers. Candlelight casts shadows, creating an eerie atmosphere.', 'In a dimly lit, vintage room filled with intricate woodwork and antique decor, a large, ornate mirror with a gilded frame comes to life, its surface shimmering mysteriously. Soft candlelight casts flickering shadows on the walls as the mirror appears to speak, creating an eerie yet enchanting atmosphere.']","Attribute,Scene","['Intricate woodwork decorates the room', ""Antique decor contributes to the room's vintage style"", 'A large mirror with an ornate, gilded frame is present', ""The mirror's surface shimmers mysteriously"", 'The room is dimly lit', 'Soft candlelight casts flickering shadows', 'The atmosphere is eerie yet enchanting', 'The mirror appears to speak', ""Candles provide the room's lighting"", 'Shadows are cast on the walls', 'The room has a vintage feel', ""The mirror's frame is gilded"", 'The mirror adds a mystical element to the room', 'The mirror and decor suggest a captivating ambiance']"
12,An ice castle standing proudly in the midst of a blizzard.,"['An ice castle during a blizzard.', 'A majestic ice castle with towers and swirling snowflakes in a blizzard.', 'A majestic ice castle with towers, snowflakes swirl in a fierce blizzard. Crystalline walls reflect light, spires defy winds.', 'A majestic ice castle gleams with intricate towers, surrounded by swirling snowflakes in a fierce blizzard. Crystalline walls reflect light amidst the storm; frosty spires defy the winds beneath an overcast sky.', ""Majestic ice castle gleaming in intricate detail, towers soaring, surrounded by swirling snowflakes in a fierce blizzard. Its crystalline walls reflect fleeting glimpses of light amidst the tumultuous storm, while frosty spires defy the winds beneath the vast, overcast sky, creating a breathtaking, ethereal spectacle of winter's raw power and serene beauty.""]","Attribute,Scene,Spatial Relation","['Ice castle has an intricate and majestic design', 'Towers of the castle are high and soaring', 'Castle is surrounded by swirling snowflakes', 'A fierce blizzard envelops the surroundings', 'Crystalline walls of the castle reflect light', 'Light is glimpsed fleetingly amidst the storm', 'Frosty spires stand tall against the winds', 'Sky above is vast and overcast', ""Scene depicts winter's raw power and serene beauty"", 'The entire spectacle is breathtaking and ethereal', ""Castle's spires are frosty and defy the winds""]"
13,A potion bubbling brightly inside a cauldron in a shadowy nook.,"['A glowing potion in a cauldron.', 'A glowing potion bubbles in a cauldron. Mist rises above.', 'A glowing potion bubbles in a large cauldron in a dim nook. Mist rises and engravings shimmer.', 'A vibrant potion bubbles in an ornate cauldron, casting an ethereal glow in a dim nook. Mist rises and cauldron engravings shimmer, creating an enchanting atmosphere.', ""A vibrant, luminescent potion bubbling vigorously inside a large, ornate cauldron, casting an ethereal glow in a dimly lit, shadowy nook. The intricate details of the cauldron's engravings shimmer subtly, while curls of mist rise above the potion, creating an enchanting atmosphere in the secluded corner.""]","Attribute,Scene,Spatial Relation","['Potion inside the cauldron is vibrant and luminescent', 'Potion is bubbling vigorously', 'Cauldron is large and ornate', 'Engravings on the cauldron are intricate', 'Potion casts an ethereal glow', 'Area is dimly lit and shadowy', 'Mist curls rise above the potion', 'Atmosphere is enchanting', 'Corner is secluded', 'Engravings shimmer subtly on the cauldron', 'Potion fills the large cauldron', 'Mist enhances the mystical feel', ""Cauldron's presence suggests brewing activity""]"
14,A book with glowing runes floating beside a mystic crystal.,"['A glowing tome and a crystal hover together.', 'A floating book with runes and a crystal share a bond, glowing with magic.', 'A glowing tome with ancient runes hovers near a crystal, both connected by magic.', 'A mystical tome with glowing runes hovers, reflecting on a faceted crystal. They share an enigmatic bond, suspended in magical energy.', 'A mystical tome adorned with ancient, glowing runes hovers in the air, its vibrant illumination reflecting against the intricately faceted surface of a mesmerizing, ethereal crystal. The book and crystal seem to share an enigmatic bond, suspended together in a delicate dance of magical energy and mysterious force.']","Attribute,Part Relation,Spatial Relation","['A mystical tome hovers in the air', 'The tome is adorned with ancient runes', 'The runes on the tome are glowing', 'Vibrant illumination from the runes reflects against a crystal', 'The crystal has an intricately faceted surface', 'The tome and crystal share an enigmatic bond', 'Both the book and crystal are suspended together', 'There is a delicate dance of magical energy around them', 'The tome and crystal are connected by a mysterious force', 'The surface of the crystal is mesmerizing and ethereal']"
15,A celestial comet racing across a star-studded sky.,"['A comet moves across a starry sky.', ""A comet's trail in a starry night sky with glowing stars."", 'A comet streaks across a starry night, leaving a glittering trail. Stars form a bright backdrop.', 'A vibrant comet streaks across a star-filled night sky, leaving a luminous trail. The stars create a glowing backdrop.', ""A vibrant celestial comet streaks energetically across a vast, star-studded night sky, leaving a luminescent trail of glittering cosmic dust in its wake. The twinkling stars form a breathtaking backdrop, illuminating the ethereal scene with their silvery glow, creating a harmonious synergy between the comet's fiery brilliance and the serene celestial expanse.""]","Action Relation,Attribute,Scene","['Comet streaking energetically across the sky', 'Comet leaving a luminescent trail of cosmic dust', 'Night sky filled with twinkling stars', 'Stars forming a breathtaking backdrop', 'Sky is vast and star-studded', 'Stars providing a silvery glow', ""Comet's brilliance is fiery"", 'Scene is illuminated by the stars', 'Background is illuminated by the silvery glow of the stars', 'Synergy created between the comet and the celestial expanse', 'Scene is ethereal and serene', 'Comet is vibrant and energetic', 'Cosmic dust is glittering']"
16,A mermaid singing softly near a coral throne undersea.,"['A mermaid with a shimmering tail sings by a coral throne.', 'A mermaid sings near coral with sea anemones and kelp. Fish swim through tranquil waters.', 'A mermaid with an emerald tail sings near a coral throne. Vibrant coral with sea anemones and kelp creates an ethereal backdrop.', 'A mesmerizing mermaid with a shimmering emerald tail sings by a majestic coral throne. Vibrant coral, adorned with sea anemones and swaying kelp, creates an ethereal backdrop in the sun-dappled undersea realm where fish weave through tranquil waters.', 'A mesmerizing mermaid, her emerald tail shimmering, sings softly with a haunting melody near a majestic coral throne. The vibrant coral, adorned with sea anemones and swaying kelp, creates an ethereal backdrop in the sun-dappled undersea realm where fish weave through the tranquil waters, enhancing the serene ambiance.']","Attribute,Scene,Spatial Relation","['Mermaid with an emerald tail', 'Mermaid singing softly with a haunting melody', 'Mermaid positioned near a coral throne', 'Coral throne described as majestic', 'Coral has a vibrant appearance', 'Coral is adorned with sea anemones', 'Kelp is swaying around the coral', 'Backdrop is ethereal, with coral and kelp', 'Sunlight dapples the undersea realm', 'Fish weave through the tranquil waters', 'Ambiance of the scene is serene', 'Tail of the mermaid is shimmering', 'The realm is undersea, illuminated by dappled sunlight', 'Sea anemones decorating the vibrant coral']"
17,"A goblin trading shiny trinkets in a hidden, mystical market.","['A goblin trades trinkets under fairy lights.', 'A goblin with emerald skin trades trinkets under fairy lights, surrounded by glowing mushrooms.', 'A cunning goblin trades shiny trinkets in a market under fairy lights. Glowing mushrooms and mist surround him.', 'In a market under fairy lights, a cunning goblin trades trinkets. His emerald skin contrasts with colorful treasures on a wooden stall amid glowing mushrooms and mist.', 'In a secluded, enchanting market under a canopy of twinkling fairy lights, a cunning goblin eagerly trades gleaming trinkets. Surrounded by glowing mushrooms and ethereal mist, his weathered, emerald skin contrasts with the brilliant array of colorful, iridescent treasures displayed on a rustic, wooden stall.']","Action Relation,Attribute,Scene","['A secluded market set under twinkling fairy lights', 'A goblin present, eagerly engaging in trade', 'Gleaming trinkets being exchanged at the stall', 'Surrounding mushrooms emit a glowing light', 'An ethereal mist envelops the market area', ""The goblin's skin is weathered and emerald green"", 'Treasures on display are colorful and iridescent', 'The stall is rustic and made of wood', 'The atmosphere is enchanting due to the setting and lighting', 'Twinkling fairy lights create a canopy over the market', 'The goblin is cunning in demeanor', 'Displays are filled with a brilliant array of treasures']"
18,"A unicorn grazing peacefully in a radiant, rainbow-lit glade.","['A unicorn with a shiny mane grazes in a rainbow-lit glade.', 'A unicorn with an iridescent mane grazes among wildflowers in a rainbow-lit glade. Sun and breeze add serenity.', 'A unicorn with a shimmering mane grazes gracefully in a rainbow-lit glade with wildflowers. Morning sun and breeze create enchantment.', 'A majestic unicorn with a shimmering, iridescent mane grazes gracefully in a luminous, rainbow-lit glade, dappled with vibrant wildflowers. The morning sun casts a gentle glow over the tranquil scene, while a gentle breeze rustles the leaves, adding a sense of serene enchantment.', 'A majestic unicorn with a shimmering, iridescent mane grazes gracefully in a luminous, rainbow-lit glade, dappled with vibrant wildflowers. The morning sun casts a gentle glow over the tranquil scene, while a gentle breeze rustles the leaves, adding a sense of serene enchantment to this magical, secluded oasis.']","Action Relation,Attribute,Scene","['Unicorn is grazing gracefully in the glade', 'The unicorn has a shimmering, iridescent mane', 'Wildflowers are vibrant and scattered throughout the glade', 'The scene is illuminated by rainbow-like light', 'Sun is casting a gentle morning glow over the area', 'The glade is a secluded and magical oasis', 'Leaves rustle gently in the breeze', 'The environment is serene and enchanting', 'Unicorn is described as majestic', 'Glade is dappled with various wildflowers', 'Rainbow-lit atmosphere enhances the magical feel']"
19,A magical quill writing tales by itself on an empty scroll.,"['A glowing quill writes on a scroll.', 'A luminous quill inscribes tales in shimmering ink on an ancient scroll.', 'A glowing, enchanted quill inscribes mesmerizing tales in shimmering ink on a pristine scroll.', 'A luminous, enchanted quill, adorned with silver filigree, inscribes mesmerizing tales in shimmering ink onto an ancient scroll. The quill, suspended in mid-air, glows ethereally, casting shadows and imbuing each word with magic.', 'A luminous, enchanted quill, intricately adorned with delicate silver filigree, gracefully inscribes mesmerizing tales in shimmering ink onto a pristine, ancient scroll. The quill, seemingly suspended in mid-air, dances delicately with an ethereal glow, casting subtle shadows across the parchment, as faint whispers of magic imbue each word with life.']","Action Relation,Attribute,Spatial Relation","['Quill is luminous and enchanted', 'Quill is intricately adorned with silver filigree', 'Quill is inscribing mesmerizing tales in shimmering ink', 'Scroll is pristine and ancient', 'Quill appears suspended in mid-air', 'Quill dances delicately with an ethereal glow', 'Quill casts subtle shadows on the parchment', 'Whispers of magic can be faintly heard', 'Each word is imbued with magic', 'Filigree on the quill is delicate and intricate', 'Scroll used for inscribing tales', 'Ink used is shimmering', 'Quill moves gracefully while inscribing', 'Shadows are subtle and fall across the parchment', 'Magic brings life to each word in the tale']"
20,A lantern casting dim light in a haunted forest.,"['A flickering lantern in a misty haunted forest.', 'A lantern flickers in a misty forest. Fog and shadows create mystery.', 'A lantern flickers in a misty, haunted forest. Fog enshrouds branches, shadows twist, creating foreboding.', 'A single, weathered lantern flickers gently, casting an eerie glow through mist-shrouded trees of the haunted forest. Fog covers the branches, shadows twist ominously, evoking mystery and foreboding in the still atmosphere.', 'A single, weathered lantern flickers gently, casting a dim, eerie glow that dances through the mist-shrouded trees of the haunted forest. Fog envelops the gnarled branches, and shadows twist ominously on the forest floor, evoking a sense of mystery and foreboding in the eerily still atmosphere.']","Action Relation,Attribute,Scene","['Lantern is single and weathered', 'Lantern flickers gently', 'Lantern casts a dim, eerie glow', 'Glow from the lantern dances through the trees', 'Trees are shrouded in mist', 'Fog envelops the branches of the trees', 'Branches are gnarled', 'Shadows twist on the forest floor', 'Atmosphere is eerily still', 'The forest is haunted', 'Sense of mystery is evoked by the setting', 'Foreboding feeling is present in the atmosphere', 'Forest floor covered with twisting shadows']"
21,A cloak of invisibility draped over a chair in a secretive chamber.,"['A cloak on a wooden chair in a secret chamber.', 'A cloak on an ornate chair in a dim chamber with artifacts and books. Shadows create a mysterious feel.', 'A mystical cloak on an ornately carved chair in a dimly lit chamber with ancient artifacts and dusty books. Shadows add mystery.', 'A mystical cloak draped over an ornately carved wooden chair in a dimly lit chamber with ancient artifacts and dusty tomes. Shadows on the walls create an atmosphere of mystery, enhancing the secrecy of the cloak.', 'A mystical cloak of invisibility delicately draped over an ornately carved wooden chair in a dimly lit, secretive chamber filled with ancient artifacts and dusty tomes. Soft shadows dance on the stone walls, creating an atmosphere of mystery and intrigue, accentuating the aura of secrecy surrounding the cloak.']","Scene,Spatial Relation","['Mystical cloak of invisibility delicately draped over a chair', 'Ornately carved wooden chair serves as a display for the cloak', 'The chamber is dimly lit, adding to the secretive ambiance', 'Ancient artifacts scattered throughout the chamber', 'Dusty tomes are present in the secretive chamber', 'Soft shadows dance on the stone walls of the chamber', 'The atmosphere conveys a sense of mystery and intrigue', 'The chair is made of ornately carved wood', 'Chamber filled with various ancient artifacts', 'Stone walls of the chamber contribute to the secretive feel', 'Atmosphere of the chamber accentuates the aura of secrecy around the cloak']"
22,A genie's lamp emitting wisps of smoke on a sandy dune.,"['A genie lamp with smoke on a sandy dune.', 'A decorated genie lamp on a sandy dune with smoke in the sky.', 'An ornate genie lamp on sunlit sand with iridescent smoke swirling against a blue sky, creating magic.', ""A mystical, intricately designed genie's lamp on a sunlit, sandy dune with wisps of iridescent smoke swirling against the clear blue sky, creating an enchanting and magical atmosphere."", ""A mystical genie's lamp, intricately designed with ornate patterns, sits on a sunlit, undulating sandy dune. Ethereal wisps of iridescent smoke gracefully swirl upwards against the vast, clear blue sky, creating a mesmerizing contrast. The scene captures an enchanting and magical ambiance, evoking a sense of wonder and fantasy.""]","Action Relation,Scene,Spatial Relation","[""Genie's lamp is intricately designed with ornate patterns"", 'Lamp is sitting on an undulating sandy dune', 'Ethereal wisps of iridescent smoke swirl upwards', 'The sky is a vast, clear blue', 'Scene evokes a sense of wonder and fantasy', 'The ambiance is enchanting and magical', 'Smoke creates a mesmerizing contrast against the sky', 'Dune is sunlit and sandy', 'Smoke is wispy and iridescent', 'The sky appears large and clear']"
23,An enchanted broom sweeping in a wizard's lofty chamber.,"[""A broom twirls in a wizard's chamber."", ""A broom twirls, sweeping the floor in a wizard's chamber with sunlight through stained glass."", ""An enchanted broom sweeps the floor in a wizard's chamber with arched windows. Sunlight through stained glass casts colorful reflections on books and artifacts."", ""In a wizard's stone chamber with arched windows, an enchanted broom twirls, sweeping the polished floor. Sunlight through stained glass casts reflections on tomes and artifacts."", ""In a wizard's lofty stone chamber with arched windows, an intricately carved enchanted broom twirls gracefully, its bristles shimmering with magic as it sweeps across the polished wooden floor. Sunlight filters through stained glass, casting colorful reflections that dance around the ancient tomes and mystical artifacts lining the shelves.""]","Action Relation,Attribute,Scene","[""Wizard's chamber is lofty with stone walls"", 'Arched windows are present in the chamber', 'An intricately carved enchanted broom is twirling', 'Broom has bristles that shimmer with magic', 'Broom sweeps across the polished wooden floor', 'Sunlight filters through stained glass windows', 'Colorful reflections from stained glass dance around the room', 'Ancient tomes are lining the shelves', 'Mystical artifacts are also found on the shelves', ""Chamber interior suggests a wizard's domain"", 'Broom is performing activity of sweeping', 'Windows are stained glass, filtering sunlight', 'Floor made of polished wood', 'Reflections cast from sunlight through glass', 'Shelves hold ancient books and relics']"
