id,prompt,schedule,tags
20,A lantern casting dim light in a haunted forest.,"['A flickering lantern in a misty haunted forest.', 'A lantern flickers in a misty forest. Fog and shadows create mystery.', 'A lantern flickers in a misty, haunted forest. Fog enshrouds branches, shadows twist, creating foreboding.', 'A single, weathered lantern flickers gently, casting an eerie glow through mist-shrouded trees of the haunted forest. Fog covers the branches, shadows twist ominously, evoking mystery and foreboding in the still atmosphere.', 'A single, weathered lantern flickers gently, casting a dim, eerie glow that dances through the mist-shrouded trees of the haunted forest. Fog envelops the gnarled branches, and shadows twist ominously on the forest floor, evoking a sense of mystery and foreboding in the eerily still atmosphere.']","Action Relation,Attribute,Scene"
21,A cloak of invisibility draped over a chair in a secretive chamber.,"['A cloak on a wooden chair in a secret chamber.', 'A cloak on an ornate chair in a dim chamber with artifacts and books. Shadows create a mysterious feel.', 'A mystical cloak on an ornately carved chair in a dimly lit chamber with ancient artifacts and dusty books. Shadows add mystery.', 'A mystical cloak draped over an ornately carved wooden chair in a dimly lit chamber with ancient artifacts and dusty tomes. Shadows on the walls create an atmosphere of mystery, enhancing the secrecy of the cloak.', 'A mystical cloak of invisibility delicately draped over an ornately carved wooden chair in a dimly lit, secretive chamber filled with ancient artifacts and dusty tomes. Soft shadows dance on the stone walls, creating an atmosphere of mystery and intrigue, accentuating the aura of secrecy surrounding the cloak.']","Scene,Spatial Relation"
22,A genie's lamp emitting wisps of smoke on a sandy dune.,"['A genie lamp with smoke on a sandy dune.', 'A decorated genie lamp on a sandy dune with smoke in the sky.', 'An ornate genie lamp on sunlit sand with iridescent smoke swirling against a blue sky, creating magic.', ""A mystical, intricately designed genie's lamp on a sunlit, sandy dune with wisps of iridescent smoke swirling against the clear blue sky, creating an enchanting and magical atmosphere."", ""A mystical genie's lamp, intricately designed with ornate patterns, sits on a sunlit, undulating sandy dune. Ethereal wisps of iridescent smoke gracefully swirl upwards against the vast, clear blue sky, creating a mesmerizing contrast. The scene captures an enchanting and magical ambiance, evoking a sense of wonder and fantasy.""]","Action Relation,Scene,Spatial Relation"
23,An enchanted broom sweeping in a wizard's lofty chamber.,"[""A broom twirls in a wizard's chamber."", ""A broom twirls, sweeping the floor in a wizard's chamber with sunlight through stained glass."", ""An enchanted broom sweeps the floor in a wizard's chamber with arched windows. Sunlight through stained glass casts colorful reflections on books and artifacts."", ""In a wizard's stone chamber with arched windows, an enchanted broom twirls, sweeping the polished floor. Sunlight through stained glass casts reflections on tomes and artifacts."", ""In a wizard's lofty stone chamber with arched windows, an intricately carved enchanted broom twirls gracefully, its bristles shimmering with magic as it sweeps across the polished wooden floor. Sunlight filters through stained glass, casting colorful reflections that dance around the ancient tomes and mystical artifacts lining the shelves.""]","Action Relation,Attribute,Scene"
24,A cat pounces on a rolling ball.,"['A cat leaps towards a ball on the floor.', 'A sleek cat leaps towards a colorful ball on the wooden floor.', 'A glossy-furred cat leaps in mid-air, eyes on a spiraling ball on the wooden floor.', 'A sleek, agile cat with glossy fur leaps in mid-air, eyes fixed on a colorful, spiraling ball rolling on a polished wooden floor, capturing dynamic movement and tension.', 'A sleek, agile cat with glossy fur leaps gracefully in mid-air, fixing its sharp eyes on a colorful, spiraling ball rolling across a polished wooden floor, creating dynamic movement and tension. The scene captures the cat’s poised elegance and swift action as its paws reach out towards the playful target.']","Action Relation,Attribute,Spatial Relation"
25,A young man tastes a simmering soup.,"['A man tastes soup in a kitchen.', 'A man in a sweater tastes soup, steam rising. Rustic kitchen with wooden cabinets and hanging pots.', 'A young man in a cozy sweater tastes simmering soup, steam surrounds him. Rustic kitchen with wooden cabinets and pots. The air smells of herbs and spices.', ""A young man tastes a simmering soup, steam rising around him. He's in a rustic kitchen with wooden cabinetry and hanging pots. The rich aroma of herbs and spices fills the air."", 'A young man carefully tastes a simmering soup, steam rising gently around him, creating a warm and inviting atmosphere. Wearing a cozy knitted sweater, he stands in a rustic kitchen with wooden cabinetry and pots hanging above. The rich aroma of herbs and spices fills the air, underscoring the moment.']","Action Relation,Attribute"
26,A girl dabs paint on a mural.,"['A girl paints a mural with vibrant colors.', 'A girl paints a colorful mural in sunlight. Her expression is focused, and her movements are fluid.', 'A girl skillfully paints an outdoor mural with vibrant colors. Sunlight highlights her focused expression and movements.', 'A young girl paints a vibrant outdoor mural. Sunlight casts shadows on the artwork, highlighting her focused expression and fluid movements.', 'A young girl meticulously dabs vibrant paint onto a sprawling outdoor mural, her brush skillfully filling intricate patterns with dazzling colors. Sunlight casts dynamic shadows across the artwork, highlighting her focused expression and fluid movements, while the vivid mural reflects a harmonious blend of creativity and environmental interaction.']","Action Relation,Spatial Relation"
27,A dancer twirls in a spotlight.,"['A dancer twirls under a spotlight on stage.', 'A dancer twirls under a spotlight. Her sequined costume sparkles, creating shadows. The audience watches.', 'A dancer twirls elegantly under a spotlight, her sequined costume glistening and casting shadows. The audience is enraptured.', 'In a darkened theater, a dancer twirls under a bright spotlight on a polished wooden stage. Her sequined costume catches the light, casting intricate shadows. The audience is captivated by her movements against deep velvet curtains.', 'In a darkened theater, a graceful dancer twirls elegantly under a bright spotlight on a polished wooden stage. Her flowing, sequined costume glistens as it catches the light, casting intricate shadows on the floor. The audience watches in awe, captivated by her flawless movements against a backdrop of deep velvet curtains.']","Attribute,Scene"
28,A boy leaps over a hurdle.,"['An athlete jumps over a hurdle.', 'An athlete in a bright uniform leaps over a hurdle. His focused face and muscles are visible.', 'A young athlete in bright track uniform jumps over a colorful hurdle. His focused expression and muscular form are captured.', 'A young athlete in a vibrant track uniform gracefully leaps over a brightly colored hurdle. The action shot captures his focused expression and muscular form mid-air against cheering spectators.', 'A young athlete, dressed in a vibrant track uniform, gracefully leaps over a brightly colored hurdle in a dynamic action shot. The scene captures his focused expression and muscular form in mid-air, emphasizing the sheer energy and spatial clarity of his movement against a backdrop of cheering spectators.']","Action Relation,Spatial Relation"
29,An old person snips a blooming rose.,"['An elderly person cuts a rose with garden shears.', 'An elderly person cutting a dewy rose with shiny garden shears. The morning light highlights the vibrant flower.', 'An elderly person delicately cutting a blooming rose with shiny garden shears. Morning sunlight highlights the vibrant flower in a tranquil garden.', 'An elderly individual carefully snips a dewy rose in full bloom with shiny garden shears. Morning sunlight illuminates the intricate petals and enhances the vibrant color against a tranquil garden backdrop.', 'An elderly individual delicately snips a luscious, dewy rose in full bloom, their weathered hands carefully gripping a pair of shiny, sharp garden shears. The morning sunlight casts a soft glow, illuminating the intricate petals and enhancing the vibrant, rich color of the flower against the tranquil garden backdrop.']","Action Relation,Attribute"
30,A man kneads dough on a table.,"['A man kneading dough in a kitchen.', 'A man kneads dough on a wooden table in a sunlit kitchen. Flour dust is in the air.', 'A man kneads soft dough on a wooden table in a sunlit kitchen. Flour dust lingers, creating harmony.', 'In a sunlit kitchen, a man kneads soft, elastic dough on a wooden table. Flour dust lingers as his hands work rhythmically. Sunlight streams through a window, casting shadows.', 'In a sunlit kitchen, a focused man expertly kneads soft, elastic dough on a rustic wooden table. Flour dust lingers in the air, as his strong hands rhythmically work the dough, creating a harmonious relation between movement and material. Sunlight streams through a nearby window, casting gentle shadows.']","Action Relation,Spatial Relation"
31,A person types on an old typewriter.,"['A person types on a vintage typewriter.', 'A person types on a vintage typewriter in warm light. The paper absorbs inked letters.', 'A focused person types on a vintage typewriter with rhythmic clacks. Warm light gives a nostalgic feel. The paper drinks in the inked letters.', 'A focused individual types rhythmically on a vintage typewriter, its keys clacking steadily. Bathed in warm light, the scene feels nostalgic. The worn paper absorbs each inked letter, embodying timeless creativity and focus.', 'A focused individual rhythmically types on a vintage typewriter, its intricate keys clacking in a steady cadence. Bathed in warm, ambient light, the scene is filled with an air of nostalgia. The worn, textured paper eagerly absorbs each inked letter, embodying the spirit of timeless creativity and concentration.']","Action Relation,Attribute"
32,A dog tunes a violin.,"['A dog tuning a violin in a music room.', 'A dog uses paws to tune a violin in a cozy music room. Warm light creates a charming atmosphere.', ""A clever dog attentively tunes a violin with its paws in a music room. Warm lighting highlights the violin and dog's expression, creating whimsy."", ""A clever dog attentively tuning a violin with its paws in a cozy music room. Warm lighting highlights the violin's polished wood and the dog's focused expression, creating a charming, whimsical atmosphere."", ""A delightful scene of a clever dog attentively tuning a violin with its paws, set against the backdrop of a cozy music room. The warm lighting casts a gentle glow on the polished wood of the violin, highlighting the dog's focused expression and creating a charming, whimsical atmosphere.""]",Action Relation
33,A woman examines a diamond.,"['A woman examines a diamond.', 'A woman closely examines a sparkling diamond under a lamp.', ""A woman, in elegant attire, examines a diamond under a jeweler's lamp."", ""A sophisticated woman, with a focused gaze, examines a multifaceted diamond under a jeweler's lamp. Her attire and composure highlight the importance of her task, as the diamond sparkles, reflecting gemology craftsmanship."", ""A sophisticated woman, with a focused gaze, carefully examines a brilliant, multifaceted diamond under the gleaming light of a jeweler's lamp. Her elegant attire and serene composure highlight the importance of her task, as the diamond sparkles with clarity and precision, reflecting the meticulous craft of gemology.""]",Action Relation
34,A small cat waves a wand.,"['A cat with a wand on a patterned carpet.', 'A curious cat holds a sparkling wand on a vibrant carpet. Sunlight filters through lace curtains.', 'A small cat with a gemstone wand on a vibrant carpet. Sunlight filters through lace curtains, creating magic.', 'A curious cat with a gemstone wand on a vibrant carpet. Sunlight through lace curtains creates magic and wonder in a cozy room.', ""A curious small cat, perched on a vibrant patterned carpet, waves a sparkling, ornate wand intricately embellished with delicate gemstones. The feline's wide, expressive eyes glimmer with mischief under a warm, dappled sunlight filtering through lace curtains, creating an atmosphere of magic and wonder within a cozy, whimsical room.""]","Action Relation,Attribute"
35,A boy spots a colorful bird.,"['A boy sees a bright bird in a tree.', 'A boy sees a shiny bird on a branch in a forest.', 'A boy, amazed, sees an iridescent bird on a branch, contrasting with green foliage.', 'A young boy, amazed, spots a vibrant, iridescent bird on a branch. The bird stands out against lush green foliage, set in a serene forest landscape.', 'A young boy, eyes wide in amazement, spots a vibrant, exotic bird perched on a branch. The bird, with its iridescent plumage shimmering under the warm sunlight, stands out against the lush green foliage. The scene is framed by the tranquil beauty of a serene, forested landscape.']","Action Relation,Attribute"
36,A sailor hoists a sail.,"['A sailor hoists a sail on a yacht under a blue sky.', 'A sailor with muscular arms raises a sail on a sunlit yacht. The sail catches the wind.', 'A focused sailor hoists a vibrant sail on a sleek yacht. Muscular arms, sunny deck, blue sky.', 'A seasoned sailor hoists a vibrant sail on a sunlit yacht, under a blue sky. His muscular arms and focused expression show determination, as the sail catches the wind for an adventure.', 'A seasoned sailor, standing on the sun-drenched deck of a sleek yacht, skillfully hoists a vibrant sail against a crisp, blue sky. His muscular arms and focused expression exude determination as the billowing fabric catches the wind, setting the scene for an exhilarating nautical adventure.']",Action Relation
37,A bird nocks an arrow.,"['A hawk with a bow and arrow under a blue sky.', 'A majestic hawk with shimmering plumage holds a bow and arrow under a blue sky.', 'A hawk with brilliant plumage nocks an arrow on a bow under a vibrant, azure sky.', 'A majestic hawk, with shimmering plumage, prepares to release an arrow on a bowstring, surrounded by a vivid, azure sky.', ""A majestic hawk, with brilliant plumage shimmering in the sunlight, expertly nocks a sleek, feathered arrow onto a finely crafted bowstring, poised to release it. The scene captures the hawk's focused gaze and sharp talons gripping the bow, surrounded by a vivid, azure sky, epitomizing precision and elegance.""]",Action Relation
38,A cat basking in the sunlight by a window.,"['A cat on a sunny windowsill.', 'A cat stretches on a sunny windowsill, casting shadows on the floor.', 'A cat stretches on a sunlit windowsill, glowing golden, with shadows on the floor.', 'A sleek cat luxuriates on a sun-dappled windowsill. Its fur glows golden in morning light, casting elegant shadows on the floor. The window frames a tranquil outdoor view, enhancing the peaceful scene.', 'A sleek, sun-dappled cat luxuriates on a warm windowsill, its fur glowing golden in the morning light. Bathed in a gentle glow, the serene feline stretches languidly, casting elegant shadows across the wooden floor. The window frames a tranquil outdoor view, enhancing the peaceful ambiance of this cozy scene.']","Action Relation,Attribute,Spatial Relation"
39,A red bicycle parked against a brightly painted wall.,"['A red bicycle against a colorful mural wall.', 'A red bicycle gleams against a bright mural, contrasting colors.', 'A classic red bicycle parked against a vibrant mural wall, contrasting its simple design with colorful patterns.', ""A classic red bicycle, gleaming in sunlight, parked against a vividly painted mural wall with vibrant colors and patterns, highlighting the bicycle's design."", ""A classic red bicycle, its frame gleaming in the sunlight, is parked neatly against a vividly painted mural wall. The wall's vibrant colors and intricate patterns create an eye-catching contrast with the bicycle's simplicity, while the natural lighting adds depth and warmth to the scene, highlighting the bicycle’s streamlined design.""]","Action Relation,Attribute,Spatial Relation"
40,A teapot steaming gently on a rustic kitchen table.,"['A ceramic teapot with steam on a wooden table.', 'A steaming teapot with floral patterns on a wooden table. Sunlight creates shadows.', 'A vintage teapot with intricate patterns and steam, on a wooden table. Sunlight filters through a window, casting shadows.', 'A steaming vintage ceramic teapot with intricate floral patterns sits on a weathered wooden kitchen table. Sunlight filters through a window, highlighting the patterns and casting soft shadows, creating a cozy ambiance.', ""A vintage ceramic teapot, elegantly steaming, sitting at the center of a charming, weathered wooden kitchen table. Sunlight filters through a nearby window, highlighting the intricate floral patterns on the teapot, while casting soft shadows across the table's textured surface, creating a cozy and serene ambiance.""]","Attribute,Spatial Relation"
41,Old boots resting on a muddy trail in the woods.,"['Weathered boots on a muddy trail in the woods.', ""Boots on a muddy trail. Sunlight through trees casts shadows. It's quiet and serene."", 'Weathered boots rest on a muddy trail. Sunlight filters through the trees, creating shadows. The atmosphere is tranquil.', 'Worn boots on a muddy, leaf-strewn trail in a dense woodland. Sunlight filters through the canopy, casting dappled shadows over the forest floor. The air is crisp, with a tranquil, inviting atmosphere.', 'Worn, weathered boots rest on a muddy, leaf-strewn trail in a dense, serene woodland setting. Sunlight filters through the canopy, casting dappled shadows over the rich, earthy hues of the forest floor. The air is crisp, and the quiet rustle of nature creates a tranquil, inviting atmosphere.']","Action Relation,Attribute,Scene"
