initial_prompt,prompt_schedule,num_tokens,num_adjectives,num_nouns
A book with glowing runes floating beside a mystic crystal,"```python
prompts = [
    ""A book with glowing runes floating beside a mystic crystal"",
    ""A book with glowing runes floating beside a mystic crystal, hovering gently"",
    ""A book with glowing runes floating beside a mystic crystal, hovering gently, surrounded by ethereal light"",
    ""A book with glowing runes floating beside a mystic crystal, hovering gently, surrounded by ethereal light, in an ancient library"",
    ""A book with glowing runes floating beside a mystic crystal, hovering gently, surrounded by ethereal light, in an ancient library, moonlight filtering through tall windows""
]
```",10,2,3
A celestial comet racing across a star-studded sky,"```python
prompts = [
    ""A celestial comet racing across a star-studded sky"",
    ""A celestial comet racing across a star-studded sky, vibrant stars twinkling"",
    ""A celestial comet racing across a star-studded sky, vibrant stars twinkling, a glowing tail trailing behind"",
    ""A celestial comet racing across a star-studded sky, vibrant stars twinkling, a glowing tail trailing behind, soft luminescence reflection"",
    ""A celestial comet racing across a star-studded sky, vibrant stars twinkling, a glowing tail trailing behind, soft luminescence reflection, vast cosmic expanse""
]
```",8,2,2
A mermaid near a coral throne undersea,"```python
prompts = [
    ""A mermaid near a coral throne undersea"",
    ""A mermaid near a coral throne undersea, shimmering scales"",
    ""A mermaid near a coral throne undersea, shimmering scales, vibrant coral"",
    ""A mermaid near a coral throne undersea, shimmering scales, vibrant coral, gentle currents"",
    ""A mermaid near a coral throne undersea, shimmering scales, vibrant coral, gentle currents, soft beams of sunlight filtering through the water""
]
```",7,1,3
"A goblin trading shiny trinkets in a hidden, mystical market","```python
prompts = [
    ""A goblin trading shiny trinkets in a hidden, mystical market"",
    ""A goblin trading shiny trinkets in a hidden, mystical market, crowded stalls"",
    ""A goblin trading shiny trinkets in a hidden, mystical market, crowded stalls, colorful lights"",
    ""A goblin trading shiny trinkets in a hidden, mystical market, crowded stalls, colorful lights, cobblestone paths"",
    ""A goblin trading shiny trinkets in a hidden, mystical market, crowded stalls, colorful lights, cobblestone paths, misty fog enveloping the market""
]
```",11,2,5
"A unicorn grazing peacefully in a radiant, rainbow-lit glade","```python
prompts = [
    ""A unicorn grazing peacefully in a radiant, rainbow-lit glade"",
    ""A unicorn grazing peacefully in a radiant, rainbow-lit glade, lush greenery"",
    ""A unicorn grazing peacefully in a radiant, rainbow-lit glade, lush greenery, vibrant flowers"",
    ""A unicorn grazing peacefully in a radiant, rainbow-lit glade, lush greenery, vibrant flowers, crystal-clear stream"",
    ""A unicorn grazing peacefully in a radiant, rainbow-lit glade, lush greenery, vibrant flowers, crystal-clear stream, sunbeams filtering through the trees""
]
```",10,2,3
A magical quill writing tales by itself on an empty scroll,"```python
prompts = [
    ""A magical quill writing tales by itself on an empty scroll"",
    ""A magical quill writing tales by itself on an empty scroll, ornate ink bottle beside it"",
    ""A magical quill writing tales by itself on an empty scroll, ornate ink bottle beside it, candlelight flickering"",
    ""A magical quill writing tales by itself on an empty scroll, ornate ink bottle beside it, candlelight flickering, wooden desk with carvings"",
    ""A magical quill writing tales by itself on an empty scroll, ornate ink bottle beside it, candlelight flickering, wooden desk with carvings, library shelves filled with ancient books in the background""
]
```",11,2,3
A lantern casting dim light in a haunted forest,"```python
prompts = [
    ""A lantern casting dim light in a haunted forest"",
    ""A lantern casting dim light in a haunted forest, gnarled trees"",
    ""A lantern casting dim light in a haunted forest, gnarled trees, twisted roots"",
    ""A lantern casting dim light in a haunted forest, gnarled trees, twisted roots, dense fog"",
    ""A lantern casting dim light in a haunted forest, gnarled trees, twisted roots, dense fog, flickering shadows""
]
```",9,1,4
A cloak of invisibility draped over a chair in a secretive chamber,"```python
prompts = [
    ""A cloak of invisibility draped over a chair in a secretive chamber"",
    ""A cloak of invisibility draped over a chair in a secretive chamber, dimly lit ambiance"",
    ""A cloak of invisibility draped over a chair in a secretive chamber, dimly lit ambiance, stone walls"",
    ""A cloak of invisibility draped over a chair in a secretive chamber, dimly lit ambiance, stone walls, flickering torches"",
    ""A cloak of invisibility draped over a chair in a secretive chamber, dimly lit ambiance, stone walls, flickering torches, shadows dancing on the floor""
]
```",12,1,4
A genie's lamp emitting wisps of smoke on a sandy dune,"```python
prompts = [
    ""A genie's lamp emitting wisps of smoke on a sandy dune"",
    ""A genie's lamp emitting wisps of smoke on a sandy dune, golden glow"",
    ""A genie's lamp emitting wisps of smoke on a sandy dune, golden glow, twilight sky"",
    ""A genie's lamp emitting wisps of smoke on a sandy dune, golden glow, twilight sky, scattered stars"",
    ""A genie's lamp emitting wisps of smoke on a sandy dune, golden glow, twilight sky, scattered stars, crescent moon casting soft light""
]
```",12,1,5
An enchanted broom sweeping in a wizard's lofty chamber,"```python
prompts = [
    ""An enchanted broom sweeping in a wizard's lofty chamber"",
    ""An enchanted broom sweeping in a wizard's lofty chamber, books piled high"",
    ""An enchanted broom sweeping in a wizard's lofty chamber, books piled high, flickering candles"",
    ""An enchanted broom sweeping in a wizard's lofty chamber, books piled high, flickering candles, intricate tapestries"",
    ""An enchanted broom sweeping in a wizard's lofty chamber, books piled high, flickering candles, intricate tapestries, mystical symbols adorning the walls""
]
```",10,2,4
A cat pounces on a rolling ball,"```python
prompts = [
    ""A cat pounces on a rolling ball"",
    ""A cat pounces on a rolling ball, wooden floor"",
    ""A cat pounces on a rolling ball, wooden floor, sunlit room"",
    ""A cat pounces on a rolling ball, wooden floor, sunlit room, striped fur"",
    ""A cat pounces on a rolling ball, wooden floor, sunlit room, striped fur, soft shadows cast by window blinds""
]
```",7,0,3
A young man tastes a simmering soup,"```python
prompts = [
    ""A young man tastes a simmering soup"",
    ""A young man tastes a simmering soup, kitchen setting"",
    ""A young man tastes a simmering soup, kitchen setting, wooden counter"",
    ""A young man tastes a simmering soup, kitchen setting, wooden counter, pots hanging on the wall"",
    ""A young man tastes a simmering soup, kitchen setting, wooden counter, pots hanging on the wall, warm sunlight streaming through a window""
]
```",7,1,3
A girl dabs paint on a mural,"prompts = [
    ""A girl dabs paint on a mural"",
    ""A girl dabs paint on a mural, urban alley setting"",
    ""A girl dabs paint on a mural, urban alley setting, vibrant colors on the mural"",
    ""A girl dabs paint on a mural, urban alley setting, vibrant colors on the mural, graffiti-adorned walls"",
    ""A girl dabs paint on a mural, urban alley setting, vibrant colors on the mural, graffiti-adorned walls, scattered cans of spray paint on the ground""
]",7,1,3
A dancer twirls in a spotlight,"```python
prompts = [
    ""A dancer twirls in a spotlight"",
    ""A dancer twirls in a spotlight, wooden stage"",
    ""A dancer twirls in a spotlight, wooden stage, velvet curtains"",
    ""A dancer twirls in a spotlight, wooden stage, velvet curtains, empty theater"",
    ""A dancer twirls in a spotlight, wooden stage, velvet curtains, empty theater, dim ambient glow from hidden lights""
]
```",6,0,3
A boy leaps over a hurdle,"```python
prompts = [
    ""A boy leaps over a hurdle"",
    ""A boy leaps over a hurdle, sunny athletics field"",
    ""A boy leaps over a hurdle, sunny athletics field, surrounding trees swaying gently"",
    ""A boy leaps over a hurdle, sunny athletics field, surrounding trees swaying gently, stands packed with spectators"",
    ""A boy leaps over a hurdle, sunny athletics field, surrounding trees swaying gently, stands packed with spectators, distant mountains under a clear blue sky""
]
```",6,0,2
An old person snips a blooming rose,"```python
prompts = [
    ""An old person snips a blooming rose"",
    ""An old person snips a blooming rose, in a quaint garden"",
    ""An old person snips a blooming rose, in a quaint garden, under a leafy arbor"",
    ""An old person snips a blooming rose, in a quaint garden, under a leafy arbor, sunlight filtering through"",
    ""An old person snips a blooming rose, in a quaint garden, under a leafy arbor, sunlight filtering through, surrounded by a variety of colorful flowers""
]
```",7,1,2
A man kneads dough on a table,"```python
prompts = [
    ""A man kneads dough on a table"",
    ""A man kneads dough on a table, wooden surface"",
    ""A man kneads dough on a table, wooden surface, flour scattered around"",
    ""A man kneads dough on a table, wooden surface, flour scattered around, kitchen setting"",
    ""A man kneads dough on a table, wooden surface, flour scattered around, kitchen setting, sunlight streaming through a window""
]
```",7,0,2
A person types on an old typewriter,"```python
prompts = [
    ""A person types on an old typewriter"",
    ""A person types on an old typewriter, cluttered desk"",
    ""A person types on an old typewriter, cluttered desk, stacks of yellowed papers"",
    ""A person types on an old typewriter, cluttered desk, stacks of yellowed papers, dimly lit study"",
    ""A person types on an old typewriter, cluttered desk, stacks of yellowed papers, dimly lit study, ornate brass lamp casting a warm glow""
]
```",7,1,3
A dog tunes a violin,"```python
prompts = [
    ""A dog tunes a violin"",
    ""A dog tunes a violin, a wooden music stand nearby"",
    ""A dog tunes a violin, a wooden music stand nearby, scattered sheet music"",
    ""A dog tunes a violin, a wooden music stand nearby, scattered sheet music, a cozy room with wooden floors"",
    ""A dog tunes a violin, a wooden music stand nearby, scattered sheet music, a cozy room with wooden floors, a warm glow from a table lamp""
]
```",5,0,2
A woman examines a diamond,"```python
prompts = [
    ""A woman examines a diamond"",
    ""A woman examines a diamond, in a dimly lit room"",
    ""A woman examines a diamond, in a dimly lit room, intricate jewelry tools scattered"",
    ""A woman examines a diamond, in a dimly lit room, intricate jewelry tools scattered, detailed reflections on diamond's surface"",
    ""A woman examines a diamond, in a dimly lit room, intricate jewelry tools scattered, detailed reflections on diamond's surface, soft shadows cast on the table""
]
```",5,0,2
A small cat waves a wand,"```python
prompts = [
    ""A small cat waves a wand"",
    ""A small cat waves a wand, standing on a wooden table"",
    ""A small cat waves a wand, standing on a wooden table, surrounded by open spell books"",
    ""A small cat waves a wand, standing on a wooden table, surrounded by open spell books, with floating magical symbols"",
    ""A small cat waves a wand, standing on a wooden table, surrounded by open spell books, with floating magical symbols, in a dimly lit room filled with flickering candles""
]
```",6,1,2
A boy spots a colorful bird,"```python
prompts = [
    ""A boy spots a colorful bird"",
    ""A boy spots a colorful bird, in a lush forest"",
    ""A boy spots a colorful bird, in a lush forest, surrounded by tall trees"",
    ""A boy spots a colorful bird, in a lush forest, surrounded by tall trees, sunlight filtering through the leaves"",
    ""A boy spots a colorful bird, in a lush forest, surrounded by tall trees, sunlight filtering through the leaves, vibrant flowers carpeting the ground""
]
```",6,2,2
A sailor hoists a sail,"```python
prompts = [
    ""A sailor hoists a sail"",
    ""A sailor hoists a sail, wooden deck"",
    ""A sailor hoists a sail, wooden deck, billowing canvas"",
    ""A sailor hoists a sail, wooden deck, billowing canvas, rolling waves"",
    ""A sailor hoists a sail, wooden deck, billowing canvas, rolling waves, bright sun casting reflections on water""
]
```",5,0,2
A bird nocks an arrow,"```python
prompts = [
    ""A bird nocks an arrow"",
    ""A bird nocks an arrow, standing on a gnarled tree branch"",
    ""A bird nocks an arrow, standing on a gnarled tree branch, overlooking a misty valley"",
    ""A bird nocks an arrow, standing on a gnarled tree branch, overlooking a misty valley, under the early morning sun"",
    ""A bird nocks an arrow, standing on a gnarled tree branch, overlooking a misty valley, under the early morning sun, soft light casting long shadows""
]
```",5,0,2
A cat basking in the sunlight by a window,"```python
prompts = [
    ""A cat basking in the sunlight by a window"",
    ""A cat basking in the sunlight by a window, warm wooden floor"",
    ""A cat basking in the sunlight by a window, warm wooden floor, soft flowing curtains"",
    ""A cat basking in the sunlight by a window, warm wooden floor, soft flowing curtains, gentle shadows"",
    ""A cat basking in the sunlight by a window, warm wooden floor, soft flowing curtains, gentle shadows, garden view through the glass""
]
```",9,0,4
A red bicycle parked against a brightly painted wall,"```python
prompts = [
    ""A red bicycle parked against a brightly painted wall"",
    ""A red bicycle parked against a brightly painted wall, vibrant colors"",
    ""A red bicycle parked against a brightly painted wall, vibrant colors, textured surface"",
    ""A red bicycle parked against a brightly painted wall, vibrant colors, textured surface, shadow cast on the ground"",
    ""A red bicycle parked against a brightly painted wall, vibrant colors, textured surface, shadow cast on the ground, faint graffiti art""
]
```",9,1,2
A teapot steaming gently on a rustic kitchen table,"```python
prompts = [
    ""A teapot steaming gently on a rustic kitchen table"",
    ""A teapot steaming gently on a rustic kitchen table, worn wooden surface"",
    ""A teapot steaming gently on a rustic kitchen table, worn wooden surface, sunlight filtering through a window"",
    ""A teapot steaming gently on a rustic kitchen table, worn wooden surface, sunlight filtering through a window, lace tablecloth with floral patterns"",
    ""A teapot steaming gently on a rustic kitchen table, worn wooden surface, sunlight filtering through a window, lace tablecloth with floral patterns, vintage crockery set next to the teapot""
]
```",9,1,3
Old boots resting on a muddy trail in the woods,"```python
prompts = [
    ""Old boots resting on a muddy trail in the woods"",
    ""Old boots resting on a muddy trail in the woods, dense foliage"",
    ""Old boots resting on a muddy trail in the woods, dense foliage, towering trees"",
    ""Old boots resting on a muddy trail in the woods, dense foliage, towering trees, dappled sunlight"",
    ""Old boots resting on a muddy trail in the woods, dense foliage, towering trees, dappled sunlight, scattered fallen leaves""
]
```",10,1,4
A yellow taxi waiting outside a modern glass building,"```python
prompts = [
    ""A yellow taxi waiting outside a modern glass building"",
    ""A yellow taxi waiting outside a modern glass building, sleek reflective windows"",
    ""A yellow taxi waiting outside a modern glass building, sleek reflective windows, bustling city backdrop"",
    ""A yellow taxi waiting outside a modern glass building, sleek reflective windows, bustling city backdrop, pedestrians walking by"",
    ""A yellow taxi waiting outside a modern glass building, sleek reflective windows, bustling city backdrop, pedestrians walking by, neon lights flickering nearby""
]
```",9,2,3
"An armchair with a knit blanket draped over it, next to a fireplace","```python
prompts = [
    ""An armchair with a knit blanket draped over it, next to a fireplace"",
    ""An armchair with a knit blanket draped over it, next to a fireplace, wooden mantel"",
    ""An armchair with a knit blanket draped over it, next to a fireplace, wooden mantel, crackling fire"",
    ""An armchair with a knit blanket draped over it, next to a fireplace, wooden mantel, crackling fire, warm glow"",
    ""An armchair with a knit blanket draped over it, next to a fireplace, wooden mantel, crackling fire, warm glow, cozy living room""
]
```",14,1,4
A colorful mural of a bird adorning a city alley,"```python
prompts = [
    ""A colorful mural of a bird adorning a city alley"",
    ""A colorful mural of a bird adorning a city alley, narrow passageway"",
    ""A colorful mural of a bird adorning a city alley, narrow passageway, cobblestone pavement"",
    ""A colorful mural of a bird adorning a city alley, narrow passageway, cobblestone pavement, tall brick walls"",
    ""A colorful mural of a bird adorning a city alley, narrow passageway, cobblestone pavement, tall brick walls, graffiti art along the walls""
]
```",10,1,4
An old lantern swaying from a tree branch in a foggy forest,"```python
prompts = [
    ""An old lantern swaying from a tree branch in a foggy forest"",
    ""An old lantern swaying from a tree branch in a foggy forest, mist clinging to branches"",
    ""An old lantern swaying from a tree branch in a foggy forest, mist clinging to branches, dimly lit path"",
    ""An old lantern swaying from a tree branch in a foggy forest, mist clinging to branches, dimly lit path, gnarled roots emerging from the ground"",
    ""An old lantern swaying from a tree branch in a foggy forest, mist clinging to branches, dimly lit path, gnarled roots emerging from the ground, eerie shadows dancing with the light""
]
```",12,4,2
A garden path lined with glowing stones under a twilight sky,"Here's the Python list for the prompt:

```python
prompts = [
    ""A garden path lined with glowing stones under a twilight sky"",
    ""A garden path lined with glowing stones under a twilight sky, lush green foliage"",
    ""A garden path lined with glowing stones under a twilight sky, lush green foliage, shimmering fairy lights"",
    ""A garden path lined with glowing stones under a twilight sky, lush green foliage, shimmering fairy lights, gently swaying flowers"",
    ""A garden path lined with glowing stones under a twilight sky, lush green foliage, shimmering fairy lights, gently swaying flowers, a distant silhouette of trees""
]
```",11,1,4
A grand fountain surrounded by historic buildings in a town square,"```python
prompts = [
    ""A grand fountain surrounded by historic buildings in a town square"",
    ""A grand fountain surrounded by historic buildings in a town square, cobblestone pathways"",
    ""A grand fountain surrounded by historic buildings in a town square, cobblestone pathways, ornate sculptures adorning the fountain"",
    ""A grand fountain surrounded by historic buildings in a town square, cobblestone pathways, ornate sculptures adorning the fountain, weathered facades of the buildings"",
    ""A grand fountain surrounded by historic buildings in a town square, cobblestone pathways, ornate sculptures adorning the fountain, weathered facades of the buildings, lanterns casting warm glows upon the paths""
]
```",11,2,4
A cavern lit by shafts of light revealing hidden underground pools,"```python
prompts = [
    ""A cavern lit by shafts of light revealing hidden underground pools"",
    ""A cavern lit by shafts of light revealing hidden underground pools, glistening stone walls"",
    ""A cavern lit by shafts of light revealing hidden underground pools, glistening stone walls, crystal-clear water"",
    ""A cavern lit by shafts of light revealing hidden underground pools, glistening stone walls, crystal-clear water, intricate stalactites"",
    ""A cavern lit by shafts of light revealing hidden underground pools, glistening stone walls, crystal-clear water, intricate stalactites, soft shadows dancing on the surfaces""
]
```",11,3,4
Boats laden with fruits floating on a river under a dual sunset,"```python
prompts = [
    ""Boats laden with fruits floating on a river under a dual sunset"",
    ""Boats laden with fruits floating on a river under a dual sunset, golden reflections"",
    ""Boats laden with fruits floating on a river under a dual sunset, golden reflections, silhouetted palm trees"",
    ""Boats laden with fruits floating on a river under a dual sunset, golden reflections, silhouetted palm trees, vibrant orange and pink skies"",
    ""Boats laden with fruits floating on a river under a dual sunset, golden reflections, silhouetted palm trees, vibrant orange and pink skies, distant mountains in shadow""
]
```",12,1,4
Shelves carved from tree branches in a mystical library,"```python
prompts = [
    ""Shelves carved from tree branches in a mystical library"",
    ""Shelves carved from tree branches in a mystical library, glowing runes on surfaces"",
    ""Shelves carved from tree branches in a mystical library, glowing runes on surfaces, ancient tomes lining the shelves"",
    ""Shelves carved from tree branches in a mystical library, glowing runes on surfaces, ancient tomes lining the shelves, wisps of light hovering above books"",
    ""Shelves carved from tree branches in a mystical library, glowing runes on surfaces, ancient tomes lining the shelves, wisps of light hovering above books, a grand stained glass window casting colorful patterns""
]
```",9,2,3
"Ancient buildings juxtaposed with sleek, futuristic transports","```python
prompts = [
    ""Ancient buildings juxtaposed with sleek, futuristic transports"",
    ""Ancient buildings juxtaposed with sleek, futuristic transports, cobblestone pathways"",
    ""Ancient buildings juxtaposed with sleek, futuristic transports, cobblestone pathways, towering skyscrapers"",
    ""Ancient buildings juxtaposed with sleek, futuristic transports, cobblestone pathways, towering skyscrapers, neon-lit signs"",
    ""Ancient buildings juxtaposed with sleek, futuristic transports, cobblestone pathways, towering skyscrapers, neon-lit signs, bustling crowds traversing the scene""
]
```",8,3,2
"A village covered in snow, illuminated by the northern lights","```python
prompts = [
    ""A village covered in snow, illuminated by the northern lights"",
    ""A village covered in snow, illuminated by the northern lights, rustic cabins"",
    ""A village covered in snow, illuminated by the northern lights, rustic cabins, snow-laden pine trees"",
    ""A village covered in snow, illuminated by the northern lights, rustic cabins, snow-laden pine trees, snowflakes gently falling"",
    ""A village covered in snow, illuminated by the northern lights, rustic cabins, snow-laden pine trees, snowflakes gently falling, multicolored auroras dancing in the sky""
]
```",11,1,3
An oasis mirage with an ice palace reflecting moonlight in the desert,"```python
prompts = [
    ""An oasis mirage with an ice palace reflecting moonlight in the desert"",
    ""An oasis mirage with an ice palace reflecting moonlight in the desert, shimmering sands"",
    ""An oasis mirage with an ice palace reflecting moonlight in the desert, shimmering sands, towering dunes"",
    ""An oasis mirage with an ice palace reflecting moonlight in the desert, shimmering sands, towering dunes, scattered palm trees"",
    ""An oasis mirage with an ice palace reflecting moonlight in the desert, shimmering sands, towering dunes, scattered palm trees, starry night sky"" 
]
```",12,0,6
An asteroid spaceport bustling with aliens and spacecraft,"```python
prompts = [
    ""An asteroid spaceport bustling with aliens and spacecraft"",
    ""An asteroid spaceport bustling with aliens and spacecraft, metallic docking pads"",
    ""An asteroid spaceport bustling with aliens and spacecraft, metallic docking pads, luminous control towers"",
    ""An asteroid spaceport bustling with aliens and spacecraft, metallic docking pads, luminous control towers, vast windows displaying stars"",
    ""An asteroid spaceport bustling with aliens and spacecraft, metallic docking pads, luminous control towers, vast windows displaying stars, colorful neon signs above docking bays""
]
```",8,1,3
A small dog dozing in a patch of sunlight,"```python
prompts = [
    ""A small dog dozing in a patch of sunlight"",
    ""A small dog dozing in a patch of sunlight, wooden floorboards"",
    ""A small dog dozing in a patch of sunlight, wooden floorboards, rays filtering through a nearby window"",
    ""A small dog dozing in a patch of sunlight, wooden floorboards, rays filtering through a nearby window, shadow patterns stretching across the floor"",
    ""A small dog dozing in a patch of sunlight, wooden floorboards, rays filtering through a nearby window, shadow patterns stretching across the floor, cozy room with soft furnishings""
]
```",9,1,3
