Index,Prompt,Num_Words,Num_Sentences,Num_Tokens,Num_Adjectives,Num_Nouns,Num_Verbs,Num_Adverbs,Human_Ratings
50,Shelves carved from tree branches in a mystical library.,10,1,10,2,3,1,0,"{'DALLE_3': [4, 5, 5], 'DeepFloyd_I_XL_v1': [3, 4, 4], 'Midjourney_6': [4, 4, 3], 'SDXL_2_1': [3, 3, 3], 'SDXL_Base': [4, 5, 5], 'SDXL_Turbo': [5, 5, 5]}"
51,"Ancient buildings juxtaposed with sleek, futuristic transports.",9,1,11,3,2,1,0,"{'DALLE_3': [5, 5, 5], 'DeepFloyd_I_XL_v1': [4, 5, 5], 'Midjourney_6': [4, 5, 5], 'SDXL_2_1': [1, 3, 3], 'SDXL_Base': [5, 5, 5], 'SDXL_Turbo': [4, 3, 2]}"
52,"A village covered in snow, illuminated by the northern lights.",12,1,12,1,3,2,0,"{'DALLE_3': [5, 5, 5], 'DeepFloyd_I_XL_v1': [4, 5, 5], 'Midjourney_6': [3, 5, 5], 'SDXL_2_1': [4, 4, 3], 'SDXL_Base': [4, 5, 5], 'SDXL_Turbo': [4, 4, 4]}"
53,An oasis mirage with an ice palace reflecting moonlight in the desert.,13,1,13,0,6,1,0,"{'DALLE_3': [3, 5, 5], 'DeepFloyd_I_XL_v1': [2, 5, 5], 'Midjourney_6': [2, 5, 5], 'SDXL_2_1': [1, 1, 1], 'SDXL_Base': [3, 5, 4], 'SDXL_Turbo': [4, 4, 4]}"
54,An asteroid spaceport bustling with aliens and spacecraft.,9,1,11,1,3,1,0,"{'DALLE_3': [4, 5, 5], 'DeepFloyd_I_XL_v1': [3, 3, 3], 'Midjourney_6': [4, 4, 3], 'SDXL_2_1': [4, 4, 4], 'SDXL_Base': [3, 3, 3], 'SDXL_Turbo': [4, 4, 3]}"
55,A small dog dozing in a patch of sunlight.,10,1,11,1,3,1,0,"{'DALLE_3': [4, 5, 5], 'DeepFloyd_I_XL_v1': [4, 5, 5], 'Midjourney_6': [4, 5, 5], 'SDXL_2_1': [3, 4, 3], 'SDXL_Base': [3, 3, 3], 'SDXL_Turbo': [3, 5, 5]}"
56,A single rose growing through a crack.,8,1,8,1,1,2,0,"{'DALLE_3': [5, 5, 5], 'DeepFloyd_I_XL_v1': [3, 5, 4], 'Midjourney_6': [5, 5, 5], 'SDXL_2_1': [4, 5, 5], 'SDXL_Base': [3, 3, 3], 'SDXL_Turbo': [2, 3, 3]}"
57,A quaint bookshop.,4,1,4,0,2,0,0,"{'DALLE_3': [4, 4, 4], 'DeepFloyd_I_XL_v1': [4, 5, 5], 'Midjourney_6': [5, 5, 5], 'SDXL_2_1': [4, 5, 5], 'SDXL_Base': [4, 5, 5], 'SDXL_Turbo': [5, 5, 5]}"
58,A lone lighthouse standing guard on a rocky coastline.,10,1,10,1,4,1,0,"{'DALLE_3': [4, 4, 3], 'DeepFloyd_I_XL_v1': [4, 4, 3], 'Midjourney_6': [5, 5, 5], 'SDXL_2_1': [5, 5, 5], 'SDXL_Base': [5, 5, 5], 'SDXL_Turbo': [5, 5, 5]}"
59,A butterfly perched on a wildflower in a meadow.,10,1,10,0,3,1,0,"{'DALLE_3': [4, 5, 5], 'DeepFloyd_I_XL_v1': [4, 5, 5], 'Midjourney_6': [4, 5, 5], 'SDXL_2_1': [3, 3, 3], 'SDXL_Base': [4, 5, 5], 'SDXL_Turbo': [4, 5, 5]}"
60,A pilot with aviator sunglasses.,6,1,6,0,3,0,0,"{'DALLE_3': [4, 5, 5], 'DeepFloyd_I_XL_v1': [4, 5, 5], 'Midjourney_6': [5, 5, 5], 'SDXL_2_1': [4, 5, 5], 'SDXL_Base': [4, 4, 3], 'SDXL_Turbo': [4, 5, 5]}"
61,A baker with a cherry pin on a polka dot apron.,12,1,12,0,6,0,0,"{'DALLE_3': [4, 5, 5], 'DeepFloyd_I_XL_v1': [3, 3, 2], 'Midjourney_6': [4, 5, 5], 'SDXL_2_1': [1, 2, 2], 'SDXL_Base': [1, 3, 3], 'SDXL_Turbo': [1, 2, 2]}"
62,A knight with a feather plume helmet standing by a stone tower.,13,1,13,0,6,1,0,"{'DALLE_3': [3, 4, 4], 'DeepFloyd_I_XL_v1': [3, 3, 2], 'Midjourney_6': [2, 3, 2], 'SDXL_2_1': [2, 2, 2], 'SDXL_Base': [3, 3, 3], 'SDXL_Turbo': [4, 5, 5]}"
63,A scientist with a gear-shaped ring in a steampunk lab.,11,1,13,1,4,0,0,"{'DALLE_3': [4, 5, 5], 'DeepFloyd_I_XL_v1': [3, 2, 2], 'Midjourney_6': [3, 3, 3], 'SDXL_2_1': [3, 2, 2], 'SDXL_Base': [3, 3, 2], 'SDXL_Turbo': [3, 3, 3]}"
64,A swan with a silver anklet on a crystal lake.,11,1,12,2,3,0,0,"{'DALLE_3': [4, 5, 5], 'DeepFloyd_I_XL_v1': [3, 3, 3], 'Midjourney_6': [2, 4, 5], 'SDXL_2_1': [1, 2, 2], 'SDXL_Base': [1, 2, 2], 'SDXL_Turbo': [3, 3, 2]}"
65,A ninja with a dragon emblem in a bamboo grove.,11,1,11,0,5,0,0,"{'DALLE_3': [3, 4, 4], 'DeepFloyd_I_XL_v1': [3, 4, 3], 'Midjourney_6': [3, 5, 5], 'SDXL_2_1': [2, 4, 3], 'SDXL_Base': [1, 2, 2], 'SDXL_Turbo': [2, 3, 3]}"
66,A pirate with a skull earring on a treasure island.,11,1,11,1,4,0,0,"{'DALLE_3': [5, 5, 5], 'DeepFloyd_I_XL_v1': [3, 3, 2], 'Midjourney_6': [4, 4, 2], 'SDXL_2_1': [2, 2, 2], 'SDXL_Base': [1, 3, 3], 'SDXL_Turbo': [3, 3, 2]}"
67,A wizard with a starry cape under a full moon.,11,1,11,1,4,0,0,"{'DALLE_3': [5, 5, 5], 'DeepFloyd_I_XL_v1': [3, 3, 2], 'Midjourney_6': [4, 4, 3], 'SDXL_2_1': [2, 2, 2], 'SDXL_Base': [3, 3, 5], 'SDXL_Turbo': [3, 3, 2]}"
68,A fairy with butterfly wings in a dewy meadow.,10,1,11,1,4,0,0,"{'DALLE_3': [4, 5, 5], 'DeepFloyd_I_XL_v1': [2, 5, 5], 'Midjourney_6': [3, 3, 3], 'SDXL_2_1': [2, 3, 3], 'SDXL_Base': [2, 5, 5], 'SDXL_Turbo': [3, 4, 3]}"
69,A cheerleader with a star badge at a sports field.,11,1,11,0,5,0,0,"{'DALLE_3': [5, 5, 5], 'DeepFloyd_I_XL_v1': [3, 3, 3], 'Midjourney_6': [4, 4, 3], 'SDXL_2_1': [1, 3, 3], 'SDXL_Base': [4, 4, 3], 'SDXL_Turbo': [2, 5, 5]}"
70,A samurai with a silk sash in a cherry blossom garden.,12,1,12,0,6,0,0,"{'DALLE_3': [4, 4, 3], 'DeepFloyd_I_XL_v1': [3, 4, 3], 'Midjourney_6': [3, 4, 3], 'SDXL_2_1': [2, 3, 3], 'SDXL_Base': [4, 4, 4], 'SDXL_Turbo': [4, 5, 5]}"
71,An astronaut with a flag patch drifting in space.,10,1,10,0,4,1,0,"{'DALLE_3': [4, 5, 5], 'DeepFloyd_I_XL_v1': [3, 5, 5], 'Midjourney_6': [4, 5, 5], 'SDXL_2_1': [3, 3, 3], 'SDXL_Base': [4, 5, 5], 'SDXL_Turbo': [4, 5, 5]}"
72,"A playful kitten with a bell collar on the left, batting at a fluttering butterfly on the right.",20,1,22,1,6,2,0,"{'DALLE_3': [1, 3, 3], 'DeepFloyd_I_XL_v1': [1, 4, 4], 'Midjourney_6': [2, 4, 4], 'SDXL_2_1': [1, 3, 3], 'SDXL_Base': [1, 3, 3], 'SDXL_Turbo': [1, 4, 3]}"
73,"A cheerful dog with a frisbee in its mouth on the right, chasing a rolling ball on the left.",21,1,21,1,6,2,0,"{'DALLE_3': [1, 2, 2], 'DeepFloyd_I_XL_v1': [3, 3, 3], 'Midjourney_6': [1, 2, 2], 'SDXL_2_1': [3, 3, 3], 'SDXL_Base': [2, 3, 2], 'SDXL_Turbo': [2, 3, 3]}"
74,"An eagle with a silver band on its leg on the right, soaring past a towering pine tree on the left.",23,1,23,0,9,1,0,"{'DALLE_3': [5, 5, 5], 'DeepFloyd_I_XL_v1': [1, 3, 3], 'Midjourney_6': [4, 5, 5], 'SDXL_2_1': [2, 3, 3], 'SDXL_Base': [3, 4, 3], 'SDXL_Turbo': [2, 4, 3]}"
75,A golden retriever sitting to the left of a blue picket fence.,13,1,13,2,4,1,0,"{'DALLE_3': [5, 4, 5], 'DeepFloyd_I_XL_v1': [3, 4, 4], 'Midjourney_6': [3, 4, 4], 'SDXL_2_1': [3, 4, 4], 'SDXL_Base': [5, 5, 5], 'SDXL_Turbo': [3, 4, 4]}"
76,A small pond with a single swan gliding towards the left.,12,1,13,2,4,0,0,"{'DALLE_3': [2, 4, 3], 'DeepFloyd_I_XL_v1': [2, 4, 3], 'Midjourney_6': [4, 5, 5], 'SDXL_2_1': [2, 3, 3], 'SDXL_Base': [2, 3, 3], 'SDXL_Turbo': [3, 3, 3]}"
77,A white sailboat drifting towards the left on a calm lake.,12,1,13,2,4,0,0,"{'DALLE_3': [4, 4, 3], 'DeepFloyd_I_XL_v1': [4, 5, 5], 'Midjourney_6': [5, 5, 5], 'SDXL_2_1': [4, 5, 5], 'SDXL_Base': [4, 5, 5], 'SDXL_Turbo': [1, 1, 1]}"
78,A single red rose in a vase on the right side of a windowsill.,15,1,17,2,4,1,0,"{'DALLE_3': [4, 5, 5], 'DeepFloyd_I_XL_v1': [5, 5, 5], 'Midjourney_6': [4, 4, 3], 'SDXL_2_1': [3, 5, 5], 'SDXL_Base': [2, 3, 3], 'SDXL_Turbo': [2, 3, 3]}"
79,A blue mailbox standing to the left of a winding garden path.,13,1,13,2,3,2,0,"{'DALLE_3': [5, 5, 5], 'DeepFloyd_I_XL_v1': [3, 4, 2], 'Midjourney_6': [5, 5, 5], 'SDXL_2_1': [2, 4, 4], 'SDXL_Base': [1, 3, 1], 'SDXL_Turbo': [3, 4, 4]}"
80,A snowy owl perched to the right on a frost-covered branch.,12,1,14,1,4,1,0,"{'DALLE_3': [2, 4, 3], 'DeepFloyd_I_XL_v1': [3, 4, 3], 'Midjourney_6': [3, 3, 3], 'SDXL_2_1': [3, 4, 4], 'SDXL_Base': [3, 4, 3], 'SDXL_Turbo': [3, 4, 4]}"
81,A vintage clock on a mantelpiece leaning slightly to the left.,12,1,14,0,4,1,1,"{'DALLE_3': [2, 4, 4], 'DeepFloyd_I_XL_v1': [2, 4, 4], 'Midjourney_6': [3, 4, 3], 'SDXL_2_1': [1, 3, 4], 'SDXL_Base': [2, 4, 3], 'SDXL_Turbo': [2, 4, 3]}"
82,A cat sitting to the left of a bookshelf.,10,1,10,0,3,1,0,"{'DALLE_3': [2, 4, 3], 'DeepFloyd_I_XL_v1': [2, 4, 4], 'Midjourney_6': [2, 4, 4], 'SDXL_2_1': [2, 3, 3], 'SDXL_Base': [2, 4, 4], 'SDXL_Turbo': [2, 4, 4]}"
83,A crystal-clear lake reflecting a mountainous landscape.,8,1,11,2,2,1,0,"{'DALLE_3': [4, 5, 5], 'DeepFloyd_I_XL_v1': [4, 5, 5], 'Midjourney_6': [3, 5, 5], 'SDXL_2_1': [5, 5, 5], 'SDXL_Base': [5, 5, 5], 'SDXL_Turbo': [5, 5, 5]}"
